epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,19537.4,1.15625,0.48525,0.94233,0.93431,0.9166,0.95631,0.61302,1.28808,0.51396,1.03315,0.0002872,0.0002872,0.0002872
146,19669.9,1.15563,0.48523,0.94293,0.93397,0.91711,0.95636,0.61287,1.28814,0.51411,1.03323,0.00028225,0.00028225,0.00028225
147,19802.1,1.15302,0.48555,0.94074,0.93392,0.91701,0.95636,0.613,1.28824,0.51397,1.0333,0.0002773,0.0002773,0.0002773
148,19935.1,1.15696,0.48557,0.94189,0.934,0.91701,0.95633,0.613,1.28833,0.51393,1.03331,0.00027235,0.00027235,0.00027235
149,20067.9,1.15245,0.48247,0.94046,0.93381,0.91692,0.95623,0.61308,1.28849,0.51385,1.03345,0.0002674,0.0002674,0.0002674
150,20200.7,1.15388,0.48373,0.94186,0.93399,0.91661,0.95616,0.6131,1.28855,0.51387,1.03351,0.00026245,0.00026245,0.00026245
151,20333.8,1.15666,0.48419,0.94299,0.9344,0.91589,0.95606,0.61325,1.28872,0.51405,1.0336,0.0002575,0.0002575,0.0002575
152,20466.1,1.14566,0.4803,0.94153,0.93444,0.91586,0.95602,0.61315,1.2888,0.51424,1.03376,0.00025255,0.00025255,0.00025255
153,20598.9,1.14796,0.48149,0.94059,0.93461,0.91567,0.95605,0.61309,1.28896,0.51427,1.03384,0.0002476,0.0002476,0.0002476
154,20731.4,1.14714,0.48209,0.93887,0.93477,0.91564,0.9561,0.61313,1.28907,0.51428,1.03393,0.00024265,0.00024265,0.00024265
155,20863.9,1.14652,0.47855,0.93914,0.9347,0.91579,0.9561,0.61311,1.28918,0.51428,1.03398,0.0002377,0.0002377,0.0002377
156,20997,1.14637,0.479,0.93952,0.93492,0.91518,0.95608,0.61305,1.28931,0.51439,1.03407,0.00023275,0.00023275,0.00023275
157,21129.6,1.13664,0.4755,0.93552,0.93489,0.9154,0.95604,0.61302,1.28945,0.51454,1.03412,0.0002278,0.0002278,0.0002278
158,21262.1,1.13417,0.47648,0.93668,0.9352,0.91504,0.95609,0.61307,1.28954,0.51453,1.03422,0.00022285,0.00022285,0.00022285
